id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Street Lights on Fire,Dusk Carter,hip-hop,energetic,0.87,98,0.72,0.91,0.08
12,Moonlit Sonata,Elara Voss,classical,peaceful,0.20,66,0.74,0.24,0.98
13,Velvet Nights,Jasmine Ray,r&b,romantic,0.64,92,0.78,0.76,0.41
14,Iron Decay,Hollow Throne,metal,angry,0.97,168,0.31,0.55,0.04
15,Autumn Letters,The Wayward Pines,folk,melancholic,0.33,76,0.38,0.43,0.93
16,Gravel Road Home,Tyler Hale,country,nostalgic,0.55,104,0.67,0.61,0.80
17,Horizon Drop,Cascade Unit,edm,euphoric,0.96,140,0.86,0.94,0.03
18,Empty Glass Bar,Ray Hollow,blues,sad,0.44,82,0.29,0.52,0.85
19,Suncoast Vibes,Zion Riders,reggae,uplifting,0.66,88,0.88,0.83,0.55
20,Golden Hour Soul,Marla Grace,soul,soulful,0.58,96,0.82,0.69,0.72
21,Digital Tears,Cascade Unit,edm,melancholic,0.78,128,0.28,0.75,0.04
22,Lost in the Rave,Void Syntax,edm,sad,0.82,132,0.22,0.80,0.03
23,Neon Collapse,Dusk Protocol,edm,melancholic,0.71,124,0.31,0.72,0.05
24,Afterglow,Signal Fade,edm,sad,0.76,130,0.25,0.78,0.04
25,Ghost Frequency,Pulse Array,edm,melancholic,0.68,122,0.29,0.70,0.06
